Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
Wang et al 2022,36_55N,117_31E,9,21,Anaerobic methane oxidation,0.0013,0.000175,SE,3,River delta estuary ,Marsh,30,5,40-50,45,2.035,med,Tamarix sp.,soil slurry ,NO2,Nitrite-dependent,YES
Wang et al 2022,36_55N,117_31E,9,22,Anaerobic methane oxidation,0.0013,0.00005,SE,3,River delta estuary ,Marsh,30,5,40-50,45,1.72,med,Bare mudflat,soil slurry ,NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.002,0.00075,SD,5,alpine wetland,Bog,14,50,0-10,5,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0038,NA,SD,5,alpine wetland,Bog,14,50,20-Oct,15,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.004,NA,SD,5,alpine wetland,Bog,14,50,20-30,25,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0018,NA,SD,5,alpine wetland,Bog,14,50,30-40,35,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0017,0.00075,SD,5,alpine wetland,Bog,14,50,40-50,45,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0017,NA,SD,5,alpine wetland,Bog,14,50,50-60,55,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0003,NA,SD,5,alpine wetland,Bog,14,50,60-70,65,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.0001,NA,SD,5,alpine wetland,Bog,14,50,70-80,75,NA,low,NA,"13C tracer, non-slurried incubation",NO2,Nitrite-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.001,NA,SD,5,alpine wetland,Bog,14,50,0-10,5,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
